"stimuli","condition","correct_response","actual_response","participant"
3,"1N",0,"0","p14"
2,"1N",0,"0","p14"
2,"1N",1,"1","p14"
3,"1N",0,"0","p14"
2,"1N",0,"1","p14"
2,"1N",1,"1","p14"
2,"1N",1,"0","p14"
4,"1N",0,"1","p14"
2,"1N",1,"0","p14"
1,"1N",0,"1","p14"
2,"1N",1,"1","p14"
3,"1N",0,"0","p14"
2,"1N",0,"1","p14"
1,"1N",0,"0","p14"
1,"1N",1,"1","p14"
2,"1N",0,"0","p14"
3,"1N",0,"0","p14"
1,"1N",0,"0","p14"
2,"1N",0,"1","p14"
2,"1N",1,"0","p14"
2,"1N",1,"1","p14"
3,"1N",0,"0","p14"
2,"1N",0,"0","p14"
1,"1N",0,"0","p14"
3,"1N",0,"0","p14"
1,"1N",0,"0","p14"
2,"1N",0,"0","p14"
2,"1N",1,"0","p14"
3,"1N",0,"0","p14"
2,"1N",0,"0","p14"
2,"1N",1,"1","p14"
2,"1N",1,"1","p14"
2,"1N",1,"1","p14"
2,"1N",1,"0","p14"
3,"1N",0,"0","p14"
3,"1N",1,"1","p14"
1,"1N",0,"0","p14"
3,"1N",1,"1","p14"
2,"1N",0,"1","p14"
1,"1N",0,"0","p14"
3,"2N",0,"0","p14"
1,"2N",1,"1","p14"
1,"2N",0,"0","p14"
3,"2N",0,"0","p14"
1,"2N",1,"0","p14"
2,"2N",0,"0","p14"
1,"2N",1,"0","p14"
3,"2N",0,"1","p14"
3,"2N",0,"1","p14"
3,"2N",1,"0","p14"
2,"2N",0,"0","p14"
2,"2N",0,"0","p14"
1,"2N",0,"1","p14"
2,"2N",1,"1","p14"
2,"2N",0,"0","p14"
1,"2N",0,"0","p14"
2,"2N",1,"1","p14"
3,"2N",0,"0","p14"
1,"2N",0,"1","p14"
3,"2N",1,"0","p14"
1,"2N",1,"1","p14"
2,"2N",0,"0","p14"
2,"2N",0,"0","p14"
3,"2N",0,"0","p14"
2,"2N",1,"1","p14"
1,"2N",0,"0","p14"
2,"2N",1,"1","p14"
3,"2N",0,"1","p14"
2,"2N",1,"1","p14"
2,"2N",0,"0","p14"
2,"2N",1,"1","p14"
1,"2N",0,"0","p14"
1,"2N",0,"0","p14"
2,"2N",0,"1","p14"
1,"2N",1,"1","p14"
2,"2N",1,"1","p14"
2,"2N",0,"0","p14"
1,"2N",0,"0","p14"
2,"2N",1,"0","p14"
2,"2N",0,"0","p14"
2,"1N",0,"0","p14"
3,"1N",0,"0","p14"
3,"1N",1,"1","p14"
3,"1N",1,"1","p14"
1,"1N",0,"1","p14"
2,"1N",0,"0","p14"
2,"1N",1,"0","p14"
3,"1N",0,"1","p14"
2,"1N",0,"1","p14"
3,"1N",0,"1","p14"
3,"1N",1,"1","p14"
1,"1N",0,"0","p14"
3,"1N",0,"1","p14"
2,"1N",0,"0","p14"
1,"1N",0,"0","p14"
1,"1N",1,"1","p14"
2,"1N",0,"0","p14"
2,"1N",1,"1","p14"
1,"1N",0,"1","p14"
2,"1N",0,"1","p14"
1,"1N",0,"0","p14"
2,"1N",0,"0","p14"
2,"1N",1,"1","p14"
2,"1N",1,"1","p14"
2,"1N",1,"1","p14"
2,"1N",1,"1","p14"
3,"1N",0,"0","p14"
2,"1N",0,"1","p14"
3,"1N",0,"0","p14"
3,"1N",1,"1","p14"
2,"1N",0,"0","p14"
2,"1N",1,"1","p14"
2,"1N",1,"1","p14"
3,"1N",0,"1","p14"
2,"1N",0,"0","p14"
2,"1N",1,"1","p14"
1,"1N",0,"0","p14"
3,"1N",0,"0","p14"
2,"1N",0,"1","p14"
2,"1N",1,"1","p14"
2,"2N",0,"0","p14"
2,"2N",1,"1","p14"
2,"2N",1,"1","p14"
3,"2N",0,"0","p14"
2,"2N",1,"0","p14"
2,"2N",0,"0","p14"
3,"2N",0,"1","p14"
3,"2N",0,"1","p14"
2,"2N",0,"1","p14"
2,"2N",0,"1","p14"
2,"2N",1,"1","p14"
3,"2N",0,"0","p14"
3,"2N",0,"1","p14"
3,"2N",1,"1","p14"
1,"2N",0,"0","p14"
3,"2N",1,"1","p14"
1,"2N",1,"1","p14"
1,"2N",0,"0","p14"
2,"2N",0,"1","p14"
1,"2N",1,"0","p14"
1,"2N",0,"0","p14"
2,"2N",0,"0","p14"
1,"2N",1,"1","p14"
2,"2N",1,"1","p14"
1,"2N",1,"1","p14"
3,"2N",0,"0","p14"
2,"2N",0,"0","p14"
2,"2N",0,"1","p14"
2,"2N",1,"1","p14"
4,"2N",0,"0","p14"
3,"2N",0,"0","p14"
4,"2N",1,"1","p14"
2,"2N",0,"0","p14"
1,"2N",0,"1","p14"
2,"2N",1,"1","p14"
2,"2N",0,"0","p14"
1,"2N",0,"0","p14"
2,"2N",1,"1","p14"
2,"2N",0,"1","p14"
1,"2N",0,"0","p14"
