"stimuli","condition","correct_response","actual_response","participant"
3,"1N",0,"0","p09"
2,"1N",0,"0","p09"
2,"1N",1,"1","p09"
3,"1N",0,"0","p09"
2,"1N",0,"0","p09"
2,"1N",1,"0","p09"
2,"1N",1,"1","p09"
4,"1N",0,"0","p09"
2,"1N",1,"1","p09"
1,"1N",0,"0","p09"
2,"1N",1,"1","p09"
3,"1N",0,"1","p09"
2,"1N",0,"0","p09"
1,"1N",0,"0","p09"
1,"1N",1,"0","p09"
2,"1N",0,"0","p09"
3,"1N",0,"0","p09"
1,"1N",0,"0","p09"
2,"1N",0,"1","p09"
2,"1N",1,"1","p09"
2,"1N",1,"1","p09"
3,"1N",0,"1","p09"
2,"1N",0,"0","p09"
1,"1N",0,"0","p09"
3,"1N",0,"0","p09"
1,"1N",0,"0","p09"
2,"1N",0,"1","p09"
2,"1N",1,"1","p09"
3,"1N",0,"0","p09"
2,"1N",0,"0","p09"
2,"1N",1,"0","p09"
2,"1N",1,"0","p09"
2,"1N",1,"1","p09"
2,"1N",1,"1","p09"
3,"1N",0,"0","p09"
3,"1N",1,"1","p09"
1,"1N",0,"1","p09"
3,"1N",1,"1","p09"
2,"1N",0,"0","p09"
1,"1N",0,"0","p09"
3,"2N",0,"0","p09"
1,"2N",1,"1","p09"
1,"2N",0,"0","p09"
3,"2N",0,"0","p09"
1,"2N",1,"1","p09"
2,"2N",0,"1","p09"
1,"2N",1,"1","p09"
3,"2N",0,"0","p09"
3,"2N",0,"0","p09"
3,"2N",1,"1","p09"
2,"2N",0,"0","p09"
2,"2N",0,"1","p09"
1,"2N",0,"0","p09"
2,"2N",1,"1","p09"
2,"2N",0,"1","p09"
1,"2N",0,"0","p09"
2,"2N",1,"1","p09"
3,"2N",0,"0","p09"
1,"2N",0,"1","p09"
3,"2N",1,"1","p09"
1,"2N",1,"1","p09"
2,"2N",0,"1","p09"
2,"2N",0,"0","p09"
3,"2N",0,"0","p09"
2,"2N",1,"1","p09"
1,"2N",0,"0","p09"
2,"2N",1,"0","p09"
3,"2N",0,"0","p09"
2,"2N",1,"1","p09"
2,"2N",0,"0","p09"
2,"2N",1,"0","p09"
1,"2N",0,"1","p09"
1,"2N",0,"0","p09"
2,"2N",0,"0","p09"
1,"2N",1,"1","p09"
2,"2N",1,"1","p09"
2,"2N",0,"1","p09"
1,"2N",0,"0","p09"
2,"2N",1,"1","p09"
2,"2N",0,"0","p09"
2,"1N",0,"0","p09"
3,"1N",0,"0","p09"
3,"1N",1,"1","p09"
3,"1N",1,"1","p09"
1,"1N",0,"0","p09"
2,"1N",0,"1","p09"
2,"1N",1,"1","p09"
3,"1N",0,"0","p09"
2,"1N",0,"0","p09"
3,"1N",0,"0","p09"
3,"1N",1,"1","p09"
1,"1N",0,"1","p09"
3,"1N",0,"0","p09"
2,"1N",0,"0","p09"
1,"1N",0,"1","p09"
1,"1N",1,"1","p09"
2,"1N",0,"0","p09"
2,"1N",1,"1","p09"
1,"1N",0,"1","p09"
2,"1N",0,"0","p09"
1,"1N",0,"0","p09"
2,"1N",0,"1","p09"
2,"1N",1,"1","p09"
2,"1N",1,"1","p09"
2,"1N",1,"1","p09"
2,"1N",1,"1","p09"
3,"1N",0,"1","p09"
2,"1N",0,"0","p09"
3,"1N",0,"0","p09"
3,"1N",1,"1","p09"
2,"1N",0,"1","p09"
2,"1N",1,"0","p09"
2,"1N",1,"1","p09"
3,"1N",0,"0","p09"
2,"1N",0,"0","p09"
2,"1N",1,"1","p09"
1,"1N",0,"1","p09"
3,"1N",0,"0","p09"
2,"1N",0,"0","p09"
2,"1N",1,"1","p09"
2,"2N",0,"0","p09"
2,"2N",1,"1","p09"
2,"2N",1,"1","p09"
3,"2N",0,"0","p09"
2,"2N",1,"1","p09"
2,"2N",0,"1","p09"
3,"2N",0,"0","p09"
3,"2N",0,"0","p09"
2,"2N",0,"0","p09"
2,"2N",0,"0","p09"
2,"2N",1,"1","p09"
3,"2N",0,"1","p09"
3,"2N",0,"0","p09"
3,"2N",1,"1","p09"
1,"2N",0,"1","p09"
3,"2N",1,"1","p09"
1,"2N",1,"1","p09"
1,"2N",0,"0","p09"
2,"2N",0,"1","p09"
1,"2N",1,"1","p09"
1,"2N",0,"0","p09"
2,"2N",0,"1","p09"
1,"2N",1,"1","p09"
2,"2N",1,"1","p09"
1,"2N",1,"1","p09"
3,"2N",0,"0","p09"
2,"2N",0,"1","p09"
2,"2N",0,"0","p09"
2,"2N",1,"1","p09"
4,"2N",0,"0","p09"
3,"2N",0,"1","p09"
4,"2N",1,"0","p09"
2,"2N",0,"0","p09"
1,"2N",0,"0","p09"
2,"2N",1,"1","p09"
2,"2N",0,"0","p09"
1,"2N",0,"1","p09"
2,"2N",1,"1","p09"
2,"2N",0,"0","p09"
1,"2N",0,"0","p09"
