"trials","sub","times_studied","condition","correct","RT"
1,"sub24","twice","emotional",1,1.51
2,"sub24","twice","neutral",0,1.85
3,"sub24","twice","emotional",0,1.11
4,"sub24","twice","neutral",1,2.02
5,"sub24","twice","emotional",1,2.06
6,"sub24","twice","emotional",0,1.55
7,"sub24","twice","neutral",1,2.11
8,"sub24","twice","neutral",1,2.27
9,"sub24","twice","emotional",1,2.13
10,"sub24","twice","neutral",1,1.13
11,"sub24","twice","neutral",0,1.66
12,"sub24","twice","emotional",1,1.98
13,"sub24","twice","neutral",0,1.94
14,"sub24","twice","neutral",1,2
15,"sub24","twice","neutral",0,1.72
16,"sub24","twice","emotional",1,2.14
17,"sub24","twice","neutral",0,1.34
18,"sub24","twice","emotional",1,2
19,"sub24","twice","neutral",1,2.2
20,"sub24","twice","emotional",1,2.18
21,"sub24","twice","emotional",1,1.55
22,"sub24","twice","neutral",1,2.23
23,"sub24","twice","emotional",1,1.26
24,"sub24","twice","emotional",1,1.73
25,"sub24","twice","neutral",1,1.73
26,"sub24","twice","emotional",1,2.05
27,"sub24","twice","neutral",1,1.26
28,"sub24","twice","emotional",1,1.51
29,"sub24","twice","emotional",1,1.44
30,"sub24","twice","neutral",0,2.07
31,"sub24","twice","emotional",1,1.5
32,"sub24","twice","emotional",0,1.63
33,"sub24","twice","neutral",0,1.74
34,"sub24","twice","emotional",1,2.16
35,"sub24","twice","emotional",1,1.15
36,"sub24","twice","emotional",1,1.94
37,"sub24","twice","neutral",0,1.37
38,"sub24","twice","emotional",1,1.9
39,"sub24","twice","neutral",1,1.51
40,"sub24","twice","neutral",1,1.39
41,"sub24","twice","emotional",1,1.47
42,"sub24","twice","emotional",1,2.2
43,"sub24","twice","neutral",1,1.96
44,"sub24","twice","neutral",0,1.34
45,"sub24","twice","neutral",0,2.24
46,"sub24","twice","emotional",1,2.1
47,"sub24","twice","neutral",1,2.29
48,"sub24","twice","neutral",1,2.06
49,"sub24","twice","neutral",1,1.41
50,"sub24","twice","emotional",1,1.19
51,"sub24","twice","emotional",1,2.1
52,"sub24","twice","emotional",1,1.46
53,"sub24","twice","neutral",0,1.74
54,"sub24","twice","emotional",0,1.71
55,"sub24","twice","neutral",1,1.72
56,"sub24","twice","neutral",0,1.96
57,"sub24","twice","emotional",1,1.7
58,"sub24","twice","neutral",1,1.67
59,"sub24","twice","emotional",1,1.53
60,"sub24","twice","emotional",1,2.16
61,"sub24","twice","emotional",1,1.48
62,"sub24","twice","emotional",0,1.93
63,"sub24","twice","neutral",1,1.35
64,"sub24","twice","neutral",1,2.22
65,"sub24","twice","neutral",1,1.9
66,"sub24","twice","neutral",1,1.28
67,"sub24","twice","emotional",0,1.98
68,"sub24","twice","emotional",0,2.18
69,"sub24","twice","neutral",1,1.36
70,"sub24","twice","neutral",1,1.85
71,"sub24","twice","neutral",1,1.41
72,"sub24","twice","neutral",0,1.49
73,"sub24","twice","neutral",1,1.42
74,"sub24","twice","emotional",0,1.16
75,"sub24","twice","emotional",1,1.5
76,"sub24","twice","neutral",1,1.83
77,"sub24","twice","neutral",1,1.19
78,"sub24","twice","neutral",1,1.69
79,"sub24","twice","emotional",0,1.69
80,"sub24","twice","emotional",1,2.18
81,"sub24","twice","neutral",1,1.74
82,"sub24","twice","emotional",1,1.76
83,"sub24","twice","neutral",1,1.88
84,"sub24","twice","emotional",0,1.36
85,"sub24","twice","emotional",1,1.34
86,"sub24","twice","emotional",0,1.04
87,"sub24","twice","emotional",0,1.99
88,"sub24","twice","emotional",1,1.84
89,"sub24","twice","emotional",1,2.12
90,"sub24","twice","neutral",1,1.36
91,"sub24","twice","emotional",1,1.24
92,"sub24","twice","neutral",0,1.9
93,"sub24","twice","neutral",1,1.14
94,"sub24","twice","neutral",1,1.26
95,"sub24","twice","emotional",1,2.12
96,"sub24","twice","neutral",1,2.03
97,"sub24","twice","neutral",0,1.48
98,"sub24","twice","neutral",1,1.84
99,"sub24","twice","emotional",1,1.46
100,"sub24","twice","emotional",1,1.19
