"trials","sub","times_studied","condition","correct","RT"
1,"sub22","twice","neutral",0,1.52
2,"sub22","twice","emotional",1,1.04
3,"sub22","twice","neutral",1,1.36
4,"sub22","twice","neutral",1,2.03
5,"sub22","twice","emotional",1,1.76
6,"sub22","twice","emotional",0,1.59
7,"sub22","twice","emotional",1,1.95
8,"sub22","twice","neutral",1,1.57
9,"sub22","twice","emotional",1,1.09
10,"sub22","twice","neutral",1,1.2
11,"sub22","twice","emotional",0,2.18
12,"sub22","twice","neutral",1,2.15
13,"sub22","twice","emotional",1,1.96
14,"sub22","twice","emotional",1,1.5
15,"sub22","twice","emotional",1,1.65
16,"sub22","twice","neutral",0,1.82
17,"sub22","twice","neutral",1,2.08
18,"sub22","twice","neutral",1,1.12
19,"sub22","twice","neutral",1,2.03
20,"sub22","twice","neutral",1,1.81
21,"sub22","twice","neutral",1,1.4
22,"sub22","twice","emotional",1,1.5
23,"sub22","twice","emotional",1,1.26
24,"sub22","twice","neutral",1,1.22
25,"sub22","twice","neutral",1,1.41
26,"sub22","twice","neutral",1,1.98
27,"sub22","twice","neutral",1,1.15
28,"sub22","twice","emotional",1,1.68
29,"sub22","twice","emotional",0,1.93
30,"sub22","twice","emotional",1,1.93
31,"sub22","twice","neutral",1,1.5
32,"sub22","twice","emotional",0,1.97
33,"sub22","twice","neutral",0,1.25
34,"sub22","twice","emotional",1,1.41
35,"sub22","twice","neutral",1,1.85
36,"sub22","twice","neutral",0,1.41
37,"sub22","twice","neutral",1,1.63
38,"sub22","twice","neutral",1,1.65
39,"sub22","twice","emotional",1,1.51
40,"sub22","twice","neutral",1,1.3
41,"sub22","twice","emotional",1,1.72
42,"sub22","twice","emotional",1,1.86
43,"sub22","twice","emotional",0,1.74
44,"sub22","twice","neutral",0,1.63
45,"sub22","twice","neutral",0,1.27
46,"sub22","twice","emotional",1,1.29
47,"sub22","twice","neutral",1,1.99
48,"sub22","twice","neutral",1,1.92
49,"sub22","twice","emotional",0,2.19
50,"sub22","twice","emotional",1,1.92
51,"sub22","twice","neutral",0,2.26
52,"sub22","twice","emotional",1,1.96
53,"sub22","twice","emotional",1,1.27
54,"sub22","twice","neutral",0,2.16
55,"sub22","twice","neutral",0,1.79
56,"sub22","twice","neutral",1,2.22
57,"sub22","twice","neutral",0,1.29
58,"sub22","twice","emotional",1,1.53
59,"sub22","twice","emotional",1,1.53
60,"sub22","twice","emotional",1,1.71
61,"sub22","twice","neutral",0,2.27
62,"sub22","twice","emotional",0,1.62
63,"sub22","twice","emotional",1,1.55
64,"sub22","twice","neutral",0,1.25
65,"sub22","twice","neutral",1,1.22
66,"sub22","twice","emotional",0,1.35
67,"sub22","twice","neutral",1,1.36
68,"sub22","twice","emotional",1,1.51
69,"sub22","twice","emotional",1,1.67
70,"sub22","twice","emotional",1,1.34
71,"sub22","twice","emotional",1,2.09
72,"sub22","twice","neutral",1,1.47
73,"sub22","twice","neutral",1,2.24
74,"sub22","twice","neutral",1,2.09
75,"sub22","twice","neutral",1,2.24
76,"sub22","twice","emotional",0,1.7
77,"sub22","twice","emotional",0,1.95
78,"sub22","twice","emotional",1,1.14
79,"sub22","twice","neutral",1,2.23
80,"sub22","twice","emotional",1,2.08
81,"sub22","twice","emotional",0,1.48
82,"sub22","twice","neutral",1,1.18
83,"sub22","twice","neutral",1,1.77
84,"sub22","twice","emotional",1,1.27
85,"sub22","twice","neutral",1,1.96
86,"sub22","twice","emotional",0,1.7
87,"sub22","twice","emotional",1,1.35
88,"sub22","twice","neutral",1,1.62
89,"sub22","twice","emotional",1,1.08
90,"sub22","twice","neutral",1,2.09
91,"sub22","twice","neutral",1,1.5
92,"sub22","twice","neutral",1,1.6
93,"sub22","twice","neutral",0,2.2
94,"sub22","twice","emotional",1,1.11
95,"sub22","twice","emotional",1,1.48
96,"sub22","twice","neutral",0,1.87
97,"sub22","twice","emotional",1,1.66
98,"sub22","twice","emotional",0,1.25
99,"sub22","twice","emotional",1,1.09
100,"sub22","twice","emotional",1,1.97
