"trials","sub","times_studied","condition","correct","RT"
1,"sub12","once","emotional",1,1.45
2,"sub12","once","neutral",1,1.45
3,"sub12","once","neutral",0,1.99
4,"sub12","once","neutral",1,1.98
5,"sub12","once","emotional",0,2.24
6,"sub12","once","neutral",0,1.81
7,"sub12","once","emotional",0,2.03
8,"sub12","once","neutral",0,2.27
9,"sub12","once","neutral",1,2.29
10,"sub12","once","emotional",1,1.15
11,"sub12","once","emotional",0,1.42
12,"sub12","once","neutral",1,1.26
13,"sub12","once","neutral",1,2.39
14,"sub12","once","neutral",1,2.12
15,"sub12","once","neutral",1,2.4
16,"sub12","once","emotional",1,1.4
17,"sub12","once","emotional",1,1.32
18,"sub12","once","emotional",1,2.07
19,"sub12","once","neutral",0,2.38
20,"sub12","once","neutral",1,2.05
21,"sub12","once","emotional",1,1.09
22,"sub12","once","neutral",1,1.74
23,"sub12","once","neutral",1,1.64
24,"sub12","once","emotional",1,1.4
25,"sub12","once","neutral",0,1.39
26,"sub12","once","emotional",1,1.84
27,"sub12","once","neutral",1,1.86
28,"sub12","once","emotional",0,1.4
29,"sub12","once","neutral",1,2.12
30,"sub12","once","emotional",1,1.47
31,"sub12","once","neutral",1,1.77
32,"sub12","once","emotional",1,2.35
33,"sub12","once","neutral",0,1.79
34,"sub12","once","neutral",1,1.29
35,"sub12","once","neutral",1,1.24
36,"sub12","once","emotional",0,2.1
37,"sub12","once","emotional",1,1.04
38,"sub12","once","emotional",0,1.61
39,"sub12","once","neutral",0,1.31
40,"sub12","once","emotional",1,1.18
41,"sub12","once","emotional",1,1.38
42,"sub12","once","neutral",0,2.04
43,"sub12","once","neutral",1,1.23
44,"sub12","once","neutral",1,1.74
45,"sub12","once","neutral",0,1.19
46,"sub12","once","emotional",1,1.21
47,"sub12","once","neutral",1,1.21
48,"sub12","once","neutral",1,1.23
49,"sub12","once","emotional",0,1.12
50,"sub12","once","emotional",0,1.9
51,"sub12","once","emotional",1,2.31
52,"sub12","once","neutral",1,2.12
53,"sub12","once","neutral",1,1.16
54,"sub12","once","emotional",1,1.58
55,"sub12","once","emotional",1,1.61
56,"sub12","once","emotional",0,1.58
57,"sub12","once","emotional",1,2.36
58,"sub12","once","emotional",0,2.17
59,"sub12","once","neutral",1,1.66
60,"sub12","once","neutral",1,1.3
61,"sub12","once","emotional",0,1.08
62,"sub12","once","neutral",1,1.88
63,"sub12","once","neutral",0,2.19
64,"sub12","once","neutral",0,1.38
65,"sub12","once","neutral",0,1.49
66,"sub12","once","emotional",1,1.92
67,"sub12","once","emotional",1,1.17
68,"sub12","once","emotional",0,1.62
69,"sub12","once","emotional",0,2
70,"sub12","once","emotional",1,1.09
71,"sub12","once","neutral",0,2.3
72,"sub12","once","neutral",0,1.62
73,"sub12","once","neutral",1,1.11
74,"sub12","once","neutral",0,1.78
75,"sub12","once","emotional",0,1.28
76,"sub12","once","neutral",1,2.1
77,"sub12","once","neutral",1,1.33
78,"sub12","once","neutral",1,2.15
79,"sub12","once","emotional",1,1.54
80,"sub12","once","emotional",1,1.44
81,"sub12","once","emotional",1,1.9
82,"sub12","once","emotional",1,2.33
83,"sub12","once","emotional",1,2.26
84,"sub12","once","emotional",1,1.05
85,"sub12","once","emotional",1,1.01
86,"sub12","once","neutral",1,1.94
87,"sub12","once","neutral",0,1.14
88,"sub12","once","neutral",1,1.68
89,"sub12","once","emotional",1,1.4
90,"sub12","once","neutral",0,2.35
91,"sub12","once","neutral",1,2.21
92,"sub12","once","emotional",1,2.18
93,"sub12","once","emotional",1,1.13
94,"sub12","once","emotional",1,2.27
95,"sub12","once","neutral",0,2.41
96,"sub12","once","emotional",1,2.2
97,"sub12","once","emotional",1,1.4
98,"sub12","once","emotional",1,1.17
99,"sub12","once","emotional",1,1.3
100,"sub12","once","neutral",0,2.23
