"trials","sub","times_studied","condition","correct","RT"
1,"sub23","twice","neutral",1,1.35
2,"sub23","twice","neutral",1,1.4
3,"sub23","twice","neutral",1,2.01
4,"sub23","twice","emotional",1,1.24
5,"sub23","twice","emotional",1,1.89
6,"sub23","twice","neutral",1,2.17
7,"sub23","twice","neutral",1,2.26
8,"sub23","twice","neutral",1,2.23
9,"sub23","twice","neutral",1,1.41
10,"sub23","twice","emotional",0,1.61
11,"sub23","twice","neutral",0,1.63
12,"sub23","twice","neutral",1,1.86
13,"sub23","twice","emotional",1,1.05
14,"sub23","twice","emotional",0,1.29
15,"sub23","twice","emotional",0,1.9
16,"sub23","twice","neutral",1,1.24
17,"sub23","twice","emotional",1,1.09
18,"sub23","twice","neutral",0,2.02
19,"sub23","twice","emotional",1,1.34
20,"sub23","twice","emotional",1,1.48
21,"sub23","twice","emotional",1,1.99
22,"sub23","twice","neutral",0,1.3
23,"sub23","twice","emotional",1,1.62
24,"sub23","twice","emotional",1,1.73
25,"sub23","twice","emotional",1,1.39
26,"sub23","twice","emotional",1,2.16
27,"sub23","twice","emotional",0,1.09
28,"sub23","twice","emotional",1,1.16
29,"sub23","twice","neutral",1,1.42
30,"sub23","twice","emotional",1,1.98
31,"sub23","twice","neutral",1,1.62
32,"sub23","twice","emotional",1,2.16
33,"sub23","twice","neutral",0,1.31
34,"sub23","twice","emotional",1,1.97
35,"sub23","twice","emotional",1,2.12
36,"sub23","twice","emotional",1,1.31
37,"sub23","twice","neutral",1,1.21
38,"sub23","twice","neutral",1,1.5
39,"sub23","twice","neutral",1,1.23
40,"sub23","twice","emotional",1,1.25
41,"sub23","twice","emotional",0,1.91
42,"sub23","twice","emotional",1,2.04
43,"sub23","twice","emotional",1,1.46
44,"sub23","twice","neutral",0,1.58
45,"sub23","twice","neutral",1,2.05
46,"sub23","twice","neutral",1,1.54
47,"sub23","twice","neutral",0,1.32
48,"sub23","twice","emotional",1,2.19
49,"sub23","twice","emotional",0,1.69
50,"sub23","twice","emotional",1,1.32
51,"sub23","twice","neutral",1,1.7
52,"sub23","twice","emotional",1,2.08
53,"sub23","twice","emotional",0,1.86
54,"sub23","twice","neutral",1,1.18
55,"sub23","twice","neutral",0,2.05
56,"sub23","twice","emotional",1,2.1
57,"sub23","twice","neutral",1,1.5
58,"sub23","twice","emotional",1,2.19
59,"sub23","twice","neutral",1,1.99
60,"sub23","twice","emotional",1,1.64
61,"sub23","twice","neutral",1,1.59
62,"sub23","twice","emotional",1,1.62
63,"sub23","twice","neutral",1,1.25
64,"sub23","twice","neutral",0,1.23
65,"sub23","twice","neutral",1,2.16
66,"sub23","twice","emotional",0,1.96
67,"sub23","twice","neutral",0,1.86
68,"sub23","twice","neutral",1,1.2
69,"sub23","twice","neutral",1,1.38
70,"sub23","twice","neutral",1,1.82
71,"sub23","twice","emotional",0,1.36
72,"sub23","twice","emotional",1,1.71
73,"sub23","twice","emotional",0,1.27
74,"sub23","twice","neutral",0,1.73
75,"sub23","twice","neutral",1,1.11
76,"sub23","twice","neutral",1,2.23
77,"sub23","twice","neutral",1,1.29
78,"sub23","twice","neutral",1,1.33
79,"sub23","twice","neutral",1,1.59
80,"sub23","twice","emotional",1,1.88
81,"sub23","twice","emotional",1,1.23
82,"sub23","twice","emotional",1,1.66
83,"sub23","twice","emotional",1,1.8
84,"sub23","twice","emotional",1,1.11
85,"sub23","twice","emotional",0,2.07
86,"sub23","twice","neutral",1,1.72
87,"sub23","twice","neutral",1,1.3
88,"sub23","twice","neutral",1,1.79
89,"sub23","twice","neutral",1,1.26
90,"sub23","twice","emotional",0,1.27
91,"sub23","twice","neutral",1,1.32
92,"sub23","twice","neutral",0,1.5
93,"sub23","twice","neutral",1,2.05
94,"sub23","twice","neutral",1,1.47
95,"sub23","twice","neutral",1,1.23
96,"sub23","twice","emotional",1,1.66
97,"sub23","twice","emotional",0,1.45
98,"sub23","twice","emotional",0,1.45
99,"sub23","twice","emotional",0,1.89
100,"sub23","twice","emotional",1,1.15
