"trials","sub","times_studied","condition","correct","RT"
1,"sub26","twice","neutral",1,1.88
2,"sub26","twice","emotional",1,1.39
3,"sub26","twice","neutral",1,1.73
4,"sub26","twice","emotional",1,1.65
5,"sub26","twice","emotional",1,1.43
6,"sub26","twice","neutral",0,1.22
7,"sub26","twice","neutral",1,1.19
8,"sub26","twice","neutral",1,2.28
9,"sub26","twice","emotional",1,1.23
10,"sub26","twice","emotional",1,1.85
11,"sub26","twice","neutral",1,2.13
12,"sub26","twice","emotional",1,1.66
13,"sub26","twice","emotional",0,1.25
14,"sub26","twice","neutral",1,1.63
15,"sub26","twice","neutral",1,1.4
16,"sub26","twice","emotional",0,1.37
17,"sub26","twice","emotional",1,1.23
18,"sub26","twice","neutral",1,2.11
19,"sub26","twice","neutral",1,1.96
20,"sub26","twice","emotional",1,1.12
21,"sub26","twice","emotional",1,1.16
22,"sub26","twice","emotional",1,1.52
23,"sub26","twice","neutral",0,1.94
24,"sub26","twice","emotional",1,1.73
25,"sub26","twice","neutral",0,1.26
26,"sub26","twice","emotional",0,1.05
27,"sub26","twice","emotional",0,1.93
28,"sub26","twice","neutral",0,1.15
29,"sub26","twice","emotional",0,2.04
30,"sub26","twice","emotional",1,1.83
31,"sub26","twice","neutral",0,1.79
32,"sub26","twice","neutral",1,1.68
33,"sub26","twice","emotional",0,1.86
34,"sub26","twice","neutral",1,1.41
35,"sub26","twice","neutral",0,1.13
36,"sub26","twice","neutral",0,1.88
37,"sub26","twice","neutral",0,1.94
38,"sub26","twice","neutral",0,2.11
39,"sub26","twice","neutral",1,1.78
40,"sub26","twice","neutral",1,1.82
41,"sub26","twice","neutral",1,2.11
42,"sub26","twice","neutral",1,2.05
43,"sub26","twice","emotional",1,1.01
44,"sub26","twice","neutral",1,2.04
45,"sub26","twice","emotional",1,2.2
46,"sub26","twice","emotional",0,2.04
47,"sub26","twice","emotional",0,2.14
48,"sub26","twice","emotional",0,1
49,"sub26","twice","neutral",1,1.34
50,"sub26","twice","emotional",1,1.51
51,"sub26","twice","emotional",1,1.77
52,"sub26","twice","emotional",0,2.07
53,"sub26","twice","neutral",1,1.99
54,"sub26","twice","emotional",1,1.19
55,"sub26","twice","emotional",1,1.06
56,"sub26","twice","neutral",1,1.64
57,"sub26","twice","neutral",1,2.1
58,"sub26","twice","neutral",1,1.13
59,"sub26","twice","emotional",1,1.26
60,"sub26","twice","emotional",0,2.19
61,"sub26","twice","neutral",0,1.46
62,"sub26","twice","neutral",1,1.22
63,"sub26","twice","neutral",1,1.72
64,"sub26","twice","neutral",1,1.73
65,"sub26","twice","emotional",0,1.57
66,"sub26","twice","emotional",1,1.08
67,"sub26","twice","neutral",1,2.19
68,"sub26","twice","emotional",1,1.25
69,"sub26","twice","neutral",1,2.25
70,"sub26","twice","neutral",1,1.58
71,"sub26","twice","emotional",1,1.8
72,"sub26","twice","neutral",1,1.36
73,"sub26","twice","emotional",1,1.49
74,"sub26","twice","emotional",1,1.2
75,"sub26","twice","neutral",0,1.11
76,"sub26","twice","neutral",1,1.17
77,"sub26","twice","emotional",1,1.91
78,"sub26","twice","neutral",0,1.94
79,"sub26","twice","emotional",0,1.43
80,"sub26","twice","emotional",0,1.9
81,"sub26","twice","emotional",0,1.56
82,"sub26","twice","emotional",1,1.5
83,"sub26","twice","neutral",1,1.98
84,"sub26","twice","neutral",0,1.56
85,"sub26","twice","emotional",1,1.23
86,"sub26","twice","neutral",1,1.15
87,"sub26","twice","neutral",0,1.44
88,"sub26","twice","emotional",1,1.02
89,"sub26","twice","emotional",1,2.1
90,"sub26","twice","emotional",1,1.35
91,"sub26","twice","neutral",1,1.31
92,"sub26","twice","neutral",1,1.19
93,"sub26","twice","emotional",1,1.83
94,"sub26","twice","neutral",0,1.82
95,"sub26","twice","emotional",1,1.84
96,"sub26","twice","emotional",1,1.89
97,"sub26","twice","emotional",1,2.04
98,"sub26","twice","emotional",1,1.03
99,"sub26","twice","neutral",1,1.98
100,"sub26","twice","neutral",1,2.05
