"trials","sub","times_studied","condition","correct","RT"
1,"sub02","once","emotional",1,1.25
2,"sub02","once","emotional",0,2.2
3,"sub02","once","neutral",1,2.09
4,"sub02","once","emotional",1,1.11
5,"sub02","once","neutral",1,1.33
6,"sub02","once","neutral",0,1.82
7,"sub02","once","neutral",1,1.77
8,"sub02","once","neutral",1,1.64
9,"sub02","once","neutral",0,2.4
10,"sub02","once","emotional",1,1.5
11,"sub02","once","neutral",0,1.32
12,"sub02","once","emotional",0,1.09
13,"sub02","once","emotional",0,2.02
14,"sub02","once","neutral",0,2.13
15,"sub02","once","emotional",0,1.69
16,"sub02","once","neutral",0,1.66
17,"sub02","once","neutral",0,1.92
18,"sub02","once","emotional",1,1.11
19,"sub02","once","emotional",1,2.16
20,"sub02","once","neutral",1,1.91
21,"sub02","once","emotional",1,1.21
22,"sub02","once","emotional",0,1.92
23,"sub02","once","neutral",1,2.3
24,"sub02","once","emotional",0,1.88
25,"sub02","once","neutral",1,2.19
26,"sub02","once","neutral",1,2.22
27,"sub02","once","neutral",1,2.32
28,"sub02","once","emotional",1,2.06
29,"sub02","once","neutral",1,1.95
30,"sub02","once","neutral",1,2.35
31,"sub02","once","emotional",0,1.06
32,"sub02","once","neutral",0,2
33,"sub02","once","emotional",1,1.72
34,"sub02","once","neutral",0,2.42
35,"sub02","once","neutral",0,1.58
36,"sub02","once","neutral",1,2.24
37,"sub02","once","emotional",1,1.52
38,"sub02","once","emotional",1,1.27
39,"sub02","once","emotional",1,1.84
40,"sub02","once","neutral",0,1.47
41,"sub02","once","emotional",1,1.97
42,"sub02","once","neutral",0,1.53
43,"sub02","once","neutral",1,2.29
44,"sub02","once","neutral",1,1.83
45,"sub02","once","emotional",1,1.13
46,"sub02","once","emotional",1,1.85
47,"sub02","once","neutral",0,2.39
48,"sub02","once","emotional",1,1.23
49,"sub02","once","emotional",1,1.04
50,"sub02","once","emotional",1,2.34
51,"sub02","once","neutral",0,1.89
52,"sub02","once","neutral",0,1.32
53,"sub02","once","neutral",1,2.31
54,"sub02","once","emotional",1,1.29
55,"sub02","once","emotional",1,1.61
56,"sub02","once","emotional",1,1.54
57,"sub02","once","neutral",1,2.29
58,"sub02","once","emotional",1,2.28
59,"sub02","once","neutral",0,1.53
60,"sub02","once","emotional",1,1.7
61,"sub02","once","neutral",0,1.93
62,"sub02","once","emotional",1,1.07
63,"sub02","once","neutral",1,2.35
64,"sub02","once","neutral",1,2.15
65,"sub02","once","neutral",1,1.82
66,"sub02","once","neutral",1,2.1
67,"sub02","once","emotional",1,2.07
68,"sub02","once","emotional",0,1.98
69,"sub02","once","neutral",0,1.91
70,"sub02","once","emotional",1,1.84
71,"sub02","once","emotional",1,2.14
72,"sub02","once","neutral",0,1.76
73,"sub02","once","neutral",0,1.85
74,"sub02","once","emotional",0,1.36
75,"sub02","once","emotional",0,1.51
76,"sub02","once","emotional",1,1.94
77,"sub02","once","neutral",1,1.86
78,"sub02","once","neutral",1,1.85
79,"sub02","once","emotional",1,2.07
80,"sub02","once","emotional",0,1.29
81,"sub02","once","neutral",0,2.14
82,"sub02","once","emotional",1,1.67
83,"sub02","once","neutral",1,2.13
84,"sub02","once","emotional",1,1.15
85,"sub02","once","neutral",0,1.52
86,"sub02","once","neutral",1,2.18
87,"sub02","once","neutral",0,1.32
88,"sub02","once","neutral",1,1.55
89,"sub02","once","emotional",1,1.82
90,"sub02","once","emotional",0,2.06
91,"sub02","once","emotional",1,1.52
92,"sub02","once","emotional",1,2.3
93,"sub02","once","emotional",1,2.3
94,"sub02","once","neutral",1,1.85
95,"sub02","once","neutral",0,2.41
96,"sub02","once","emotional",1,1.22
97,"sub02","once","neutral",1,2.01
98,"sub02","once","emotional",1,2.26
99,"sub02","once","emotional",0,1.88
100,"sub02","once","emotional",1,2
