"trials","sub","times_studied","condition","correct","RT"
1,"sub20","twice","neutral",0,1.68
2,"sub20","twice","neutral",0,2.11
3,"sub20","twice","neutral",1,1.79
4,"sub20","twice","emotional",0,1.94
5,"sub20","twice","emotional",1,1.95
6,"sub20","twice","neutral",0,2.11
7,"sub20","twice","emotional",1,1.42
8,"sub20","twice","neutral",0,1.55
9,"sub20","twice","emotional",0,1.21
10,"sub20","twice","emotional",1,1.53
11,"sub20","twice","emotional",1,1.63
12,"sub20","twice","neutral",1,1.75
13,"sub20","twice","neutral",1,1.82
14,"sub20","twice","emotional",1,1.71
15,"sub20","twice","emotional",0,1.55
16,"sub20","twice","neutral",1,1.67
17,"sub20","twice","neutral",1,1.76
18,"sub20","twice","neutral",1,1.77
19,"sub20","twice","neutral",1,1.8
20,"sub20","twice","neutral",1,1.6
21,"sub20","twice","neutral",1,1.57
22,"sub20","twice","neutral",1,1.55
23,"sub20","twice","emotional",1,2.12
24,"sub20","twice","emotional",1,1.18
25,"sub20","twice","emotional",1,1.34
26,"sub20","twice","neutral",1,1.43
27,"sub20","twice","emotional",0,2
28,"sub20","twice","emotional",1,1.79
29,"sub20","twice","neutral",0,1.28
30,"sub20","twice","neutral",1,1.15
31,"sub20","twice","emotional",1,1.24
32,"sub20","twice","emotional",0,1.18
33,"sub20","twice","neutral",0,1.92
34,"sub20","twice","emotional",1,1.61
35,"sub20","twice","emotional",1,1.53
36,"sub20","twice","neutral",1,1.23
37,"sub20","twice","emotional",1,1.76
38,"sub20","twice","emotional",1,1.2
39,"sub20","twice","emotional",1,1.74
40,"sub20","twice","emotional",1,1.53
41,"sub20","twice","neutral",1,1.81
42,"sub20","twice","neutral",1,1.47
43,"sub20","twice","neutral",1,1.19
44,"sub20","twice","neutral",1,1.77
45,"sub20","twice","emotional",1,1.66
46,"sub20","twice","neutral",1,2.24
47,"sub20","twice","emotional",0,2.1
48,"sub20","twice","emotional",0,1.28
49,"sub20","twice","neutral",1,1.7
50,"sub20","twice","emotional",0,1.4
51,"sub20","twice","neutral",1,1.64
52,"sub20","twice","neutral",0,2.25
53,"sub20","twice","neutral",0,1.9
54,"sub20","twice","neutral",0,1.99
55,"sub20","twice","emotional",1,1.16
56,"sub20","twice","emotional",1,1.9
57,"sub20","twice","neutral",1,2.08
58,"sub20","twice","emotional",1,2.09
59,"sub20","twice","neutral",1,2.23
60,"sub20","twice","emotional",1,1.5
61,"sub20","twice","emotional",1,1.69
62,"sub20","twice","neutral",0,2.04
63,"sub20","twice","emotional",1,1.28
64,"sub20","twice","emotional",1,1.92
65,"sub20","twice","emotional",1,1.75
66,"sub20","twice","neutral",1,2.18
67,"sub20","twice","emotional",1,1.81
68,"sub20","twice","neutral",1,1.36
69,"sub20","twice","emotional",0,1.65
70,"sub20","twice","emotional",1,1.43
71,"sub20","twice","neutral",1,1.82
72,"sub20","twice","neutral",0,1.58
73,"sub20","twice","emotional",1,1.91
74,"sub20","twice","emotional",0,2.11
75,"sub20","twice","neutral",0,1.79
76,"sub20","twice","neutral",1,1.53
77,"sub20","twice","neutral",1,2.06
78,"sub20","twice","neutral",1,1.61
79,"sub20","twice","neutral",0,2.21
80,"sub20","twice","neutral",1,2.07
81,"sub20","twice","neutral",0,2.19
82,"sub20","twice","emotional",1,1.53
83,"sub20","twice","emotional",1,2.02
84,"sub20","twice","neutral",0,1.52
85,"sub20","twice","emotional",1,1.67
86,"sub20","twice","neutral",1,2
87,"sub20","twice","emotional",1,1.1
88,"sub20","twice","neutral",0,1.98
89,"sub20","twice","neutral",1,1.12
90,"sub20","twice","emotional",1,1.44
91,"sub20","twice","neutral",0,1.33
92,"sub20","twice","emotional",1,1.78
93,"sub20","twice","emotional",1,1.87
94,"sub20","twice","emotional",1,1.72
95,"sub20","twice","emotional",1,1.64
96,"sub20","twice","emotional",1,1.58
97,"sub20","twice","emotional",0,1.21
98,"sub20","twice","neutral",1,1.36
99,"sub20","twice","emotional",0,2.11
100,"sub20","twice","neutral",0,1.71
