"trials","sub","times_studied","condition","correct","RT"
1,"sub28","twice","emotional",1,1.66
2,"sub28","twice","emotional",0,2.16
3,"sub28","twice","emotional",1,1.83
4,"sub28","twice","emotional",1,1.76
5,"sub28","twice","neutral",1,2.29
6,"sub28","twice","emotional",1,1.59
7,"sub28","twice","emotional",0,2.14
8,"sub28","twice","emotional",1,1.02
9,"sub28","twice","neutral",1,2.15
10,"sub28","twice","emotional",1,1.89
11,"sub28","twice","neutral",1,1.84
12,"sub28","twice","neutral",0,1.85
13,"sub28","twice","emotional",1,1.57
14,"sub28","twice","emotional",0,1.39
15,"sub28","twice","emotional",1,1.52
16,"sub28","twice","neutral",0,1.82
17,"sub28","twice","emotional",0,1.73
18,"sub28","twice","neutral",0,2.14
19,"sub28","twice","neutral",1,1.61
20,"sub28","twice","neutral",0,1.27
21,"sub28","twice","neutral",0,1.24
22,"sub28","twice","neutral",1,2.01
23,"sub28","twice","emotional",0,2
24,"sub28","twice","neutral",1,1.64
25,"sub28","twice","emotional",1,1.62
26,"sub28","twice","neutral",1,1.83
27,"sub28","twice","emotional",1,2.12
28,"sub28","twice","emotional",0,1.3
29,"sub28","twice","emotional",1,1.83
30,"sub28","twice","neutral",0,1.5
31,"sub28","twice","neutral",1,1.92
32,"sub28","twice","neutral",1,1.71
33,"sub28","twice","emotional",1,1.56
34,"sub28","twice","neutral",0,1.64
35,"sub28","twice","emotional",1,2.18
36,"sub28","twice","emotional",1,1.81
37,"sub28","twice","neutral",1,1.35
38,"sub28","twice","emotional",1,2.16
39,"sub28","twice","emotional",0,2.16
40,"sub28","twice","emotional",1,1.2
41,"sub28","twice","emotional",0,2.18
42,"sub28","twice","emotional",1,1.64
43,"sub28","twice","emotional",1,1.99
44,"sub28","twice","neutral",1,1.37
45,"sub28","twice","neutral",1,1.76
46,"sub28","twice","emotional",1,1.29
47,"sub28","twice","neutral",0,2.1
48,"sub28","twice","neutral",1,1.99
49,"sub28","twice","neutral",0,1.96
50,"sub28","twice","emotional",1,1.29
51,"sub28","twice","neutral",1,1.61
52,"sub28","twice","emotional",1,1.11
53,"sub28","twice","neutral",1,1.33
54,"sub28","twice","neutral",1,1.61
55,"sub28","twice","emotional",1,1.07
56,"sub28","twice","neutral",1,1.53
57,"sub28","twice","emotional",1,1.96
58,"sub28","twice","neutral",0,1.73
59,"sub28","twice","neutral",1,2.27
60,"sub28","twice","emotional",1,2.06
61,"sub28","twice","neutral",0,1.43
62,"sub28","twice","emotional",1,1.36
63,"sub28","twice","emotional",0,1.91
64,"sub28","twice","neutral",1,1.2
65,"sub28","twice","neutral",0,1.21
66,"sub28","twice","emotional",1,1.84
67,"sub28","twice","emotional",0,1.11
68,"sub28","twice","emotional",0,1.62
69,"sub28","twice","neutral",0,2.05
70,"sub28","twice","neutral",1,1.56
71,"sub28","twice","neutral",1,2.08
72,"sub28","twice","emotional",1,2.06
73,"sub28","twice","neutral",1,1.5
74,"sub28","twice","neutral",1,1.12
75,"sub28","twice","neutral",1,1.88
76,"sub28","twice","neutral",1,1.88
77,"sub28","twice","emotional",1,2.02
78,"sub28","twice","neutral",1,1.44
79,"sub28","twice","neutral",1,1.56
80,"sub28","twice","neutral",1,1.83
81,"sub28","twice","emotional",1,1.08
82,"sub28","twice","emotional",1,1.85
83,"sub28","twice","emotional",0,1.51
84,"sub28","twice","neutral",1,2.05
85,"sub28","twice","neutral",0,1.91
86,"sub28","twice","emotional",1,1.32
87,"sub28","twice","neutral",1,1.55
88,"sub28","twice","neutral",1,2.04
89,"sub28","twice","neutral",0,1.57
90,"sub28","twice","emotional",1,1.72
91,"sub28","twice","emotional",0,1.53
92,"sub28","twice","neutral",1,1.58
93,"sub28","twice","neutral",0,1.5
94,"sub28","twice","emotional",1,1.31
95,"sub28","twice","emotional",0,1.04
96,"sub28","twice","emotional",1,1.06
97,"sub28","twice","neutral",1,1.28
98,"sub28","twice","emotional",1,2.14
99,"sub28","twice","emotional",1,1.94
100,"sub28","twice","neutral",0,1.3
