"trials","sub","times_studied","condition","correct","RT"
1,"sub30","twice","emotional",0,1.94
2,"sub30","twice","emotional",1,1.13
3,"sub30","twice","neutral",1,1.72
4,"sub30","twice","neutral",1,1.95
5,"sub30","twice","emotional",1,2.15
6,"sub30","twice","neutral",1,1.43
7,"sub30","twice","emotional",0,2.1
8,"sub30","twice","neutral",0,1.11
9,"sub30","twice","neutral",1,1.59
10,"sub30","twice","emotional",1,1.5
11,"sub30","twice","emotional",1,1.57
12,"sub30","twice","neutral",1,2.3
13,"sub30","twice","emotional",1,1.97
14,"sub30","twice","neutral",1,1.49
15,"sub30","twice","emotional",1,1.84
16,"sub30","twice","emotional",1,1.64
17,"sub30","twice","neutral",0,1.81
18,"sub30","twice","neutral",1,2.21
19,"sub30","twice","emotional",1,1.63
20,"sub30","twice","neutral",0,1.11
21,"sub30","twice","emotional",1,2.13
22,"sub30","twice","emotional",0,1.45
23,"sub30","twice","emotional",0,1.39
24,"sub30","twice","emotional",1,1.35
25,"sub30","twice","neutral",1,2.06
26,"sub30","twice","emotional",1,2.06
27,"sub30","twice","neutral",1,1.58
28,"sub30","twice","neutral",0,2.08
29,"sub30","twice","neutral",0,2.03
30,"sub30","twice","neutral",0,1.32
31,"sub30","twice","neutral",0,1.39
32,"sub30","twice","emotional",1,2.08
33,"sub30","twice","emotional",1,1.93
34,"sub30","twice","neutral",1,2.02
35,"sub30","twice","neutral",0,2.11
36,"sub30","twice","emotional",0,1.99
37,"sub30","twice","emotional",1,1.91
38,"sub30","twice","neutral",0,1.73
39,"sub30","twice","neutral",0,1.55
40,"sub30","twice","neutral",0,1.92
41,"sub30","twice","neutral",1,1.26
42,"sub30","twice","emotional",1,1.29
43,"sub30","twice","emotional",1,1.78
44,"sub30","twice","emotional",1,1.05
45,"sub30","twice","neutral",1,1.98
46,"sub30","twice","neutral",1,2.26
47,"sub30","twice","emotional",1,1.51
48,"sub30","twice","emotional",1,1.14
49,"sub30","twice","emotional",1,1.32
50,"sub30","twice","emotional",1,1.64
51,"sub30","twice","emotional",0,1.16
52,"sub30","twice","neutral",1,1.29
53,"sub30","twice","emotional",1,1.93
54,"sub30","twice","neutral",1,1.68
55,"sub30","twice","neutral",1,1.45
56,"sub30","twice","emotional",1,2.05
57,"sub30","twice","neutral",0,1.85
58,"sub30","twice","neutral",1,1.38
59,"sub30","twice","emotional",1,1.04
60,"sub30","twice","emotional",1,1.84
61,"sub30","twice","neutral",1,2.07
62,"sub30","twice","emotional",0,2.04
63,"sub30","twice","emotional",0,2.08
64,"sub30","twice","emotional",1,1.6
65,"sub30","twice","neutral",0,1.45
66,"sub30","twice","emotional",1,1.83
67,"sub30","twice","neutral",1,2.13
68,"sub30","twice","emotional",1,2
69,"sub30","twice","emotional",1,1.04
70,"sub30","twice","neutral",1,1.15
71,"sub30","twice","emotional",1,2.13
72,"sub30","twice","emotional",1,2.04
73,"sub30","twice","emotional",1,1.47
74,"sub30","twice","emotional",0,1.06
75,"sub30","twice","emotional",1,1.69
76,"sub30","twice","neutral",0,2.15
77,"sub30","twice","neutral",1,1.84
78,"sub30","twice","neutral",1,1.95
79,"sub30","twice","neutral",1,1.5
80,"sub30","twice","emotional",0,1.42
81,"sub30","twice","emotional",1,1.28
82,"sub30","twice","neutral",0,1.89
83,"sub30","twice","neutral",0,1.49
84,"sub30","twice","emotional",1,1.39
85,"sub30","twice","neutral",1,1.26
86,"sub30","twice","neutral",1,1.21
87,"sub30","twice","emotional",1,1.6
88,"sub30","twice","neutral",1,1.64
89,"sub30","twice","neutral",1,1.62
90,"sub30","twice","emotional",1,1.22
91,"sub30","twice","neutral",1,1.47
92,"sub30","twice","neutral",0,1.33
93,"sub30","twice","emotional",0,1.9
94,"sub30","twice","neutral",1,1.53
95,"sub30","twice","neutral",0,1.39
96,"sub30","twice","neutral",1,2.11
97,"sub30","twice","neutral",1,2.02
98,"sub30","twice","neutral",1,1.45
99,"sub30","twice","emotional",1,1.15
100,"sub30","twice","emotional",1,1.91
