"trials","sub","times_studied","condition","correct","RT"
1,"sub19","twice","emotional",1,1.93
2,"sub19","twice","neutral",1,1.39
3,"sub19","twice","emotional",1,1.88
4,"sub19","twice","neutral",1,1.62
5,"sub19","twice","neutral",1,1.19
6,"sub19","twice","neutral",1,1.82
7,"sub19","twice","neutral",0,1.88
8,"sub19","twice","emotional",0,1.58
9,"sub19","twice","emotional",1,1.02
10,"sub19","twice","emotional",1,1.91
11,"sub19","twice","emotional",1,2.05
12,"sub19","twice","emotional",1,1.95
13,"sub19","twice","neutral",1,1.9
14,"sub19","twice","emotional",1,1.16
15,"sub19","twice","emotional",1,1.97
16,"sub19","twice","emotional",1,1.87
17,"sub19","twice","emotional",1,1.24
18,"sub19","twice","emotional",1,1.45
19,"sub19","twice","emotional",0,2.01
20,"sub19","twice","emotional",0,2.11
21,"sub19","twice","neutral",1,2.18
22,"sub19","twice","neutral",0,1.59
23,"sub19","twice","emotional",1,2
24,"sub19","twice","neutral",0,1.45
25,"sub19","twice","emotional",1,1.92
26,"sub19","twice","neutral",1,1.31
27,"sub19","twice","emotional",1,1.24
28,"sub19","twice","emotional",0,1.1
29,"sub19","twice","emotional",1,1.71
30,"sub19","twice","emotional",0,1.45
31,"sub19","twice","neutral",1,1.3
32,"sub19","twice","neutral",1,1.62
33,"sub19","twice","neutral",1,1.35
34,"sub19","twice","emotional",1,1.4
35,"sub19","twice","neutral",0,2.11
36,"sub19","twice","neutral",1,1.12
37,"sub19","twice","neutral",1,1.88
38,"sub19","twice","emotional",1,2.06
39,"sub19","twice","emotional",1,1.62
40,"sub19","twice","neutral",1,1.13
41,"sub19","twice","emotional",1,1.53
42,"sub19","twice","neutral",1,2.07
43,"sub19","twice","emotional",1,1.44
44,"sub19","twice","emotional",1,1.62
45,"sub19","twice","neutral",0,1.24
46,"sub19","twice","neutral",1,1.84
47,"sub19","twice","emotional",1,1.5
48,"sub19","twice","neutral",1,1.35
49,"sub19","twice","neutral",1,1.66
50,"sub19","twice","emotional",1,1.33
51,"sub19","twice","neutral",0,1.55
52,"sub19","twice","emotional",0,2.12
53,"sub19","twice","neutral",1,1.14
54,"sub19","twice","neutral",1,1.8
55,"sub19","twice","emotional",1,1.09
56,"sub19","twice","neutral",0,2.28
57,"sub19","twice","emotional",0,2.07
58,"sub19","twice","neutral",1,1.87
59,"sub19","twice","emotional",0,1.01
60,"sub19","twice","neutral",1,2.17
61,"sub19","twice","neutral",1,1.34
62,"sub19","twice","emotional",0,1.11
63,"sub19","twice","neutral",1,1.98
64,"sub19","twice","neutral",1,1.6
65,"sub19","twice","emotional",1,1.97
66,"sub19","twice","emotional",1,1.18
67,"sub19","twice","neutral",1,1.58
68,"sub19","twice","emotional",1,1.54
69,"sub19","twice","emotional",1,1.32
70,"sub19","twice","neutral",1,1.87
71,"sub19","twice","emotional",1,1.7
72,"sub19","twice","emotional",0,1.6
73,"sub19","twice","emotional",1,1.5
74,"sub19","twice","neutral",1,1.93
75,"sub19","twice","emotional",1,1.23
76,"sub19","twice","neutral",1,1.23
77,"sub19","twice","emotional",0,1.73
78,"sub19","twice","neutral",0,1.75
79,"sub19","twice","neutral",1,1.58
80,"sub19","twice","neutral",1,1.94
81,"sub19","twice","neutral",1,1.67
82,"sub19","twice","neutral",0,1.15
83,"sub19","twice","neutral",1,1.56
84,"sub19","twice","neutral",1,1.63
85,"sub19","twice","emotional",1,1.05
86,"sub19","twice","neutral",0,1.8
87,"sub19","twice","neutral",0,1.13
88,"sub19","twice","emotional",1,1.09
89,"sub19","twice","neutral",1,2.29
90,"sub19","twice","neutral",1,1.76
91,"sub19","twice","emotional",0,1.54
92,"sub19","twice","neutral",0,1.29
93,"sub19","twice","emotional",1,1.74
94,"sub19","twice","emotional",1,1.7
95,"sub19","twice","neutral",0,2.21
96,"sub19","twice","emotional",0,1.69
97,"sub19","twice","emotional",1,1.87
98,"sub19","twice","neutral",0,1.39
99,"sub19","twice","neutral",1,1.9
100,"sub19","twice","emotional",1,1.63
