"trials","sub","times_studied","condition","correct","RT"
1,"sub10","once","emotional",1,1.86
2,"sub10","once","emotional",1,2.32
3,"sub10","once","neutral",1,1.25
4,"sub10","once","emotional",1,1.08
5,"sub10","once","neutral",1,2.16
6,"sub10","once","emotional",1,1.35
7,"sub10","once","neutral",0,1.4
8,"sub10","once","neutral",1,1.68
9,"sub10","once","emotional",0,1.8
10,"sub10","once","neutral",0,1.33
11,"sub10","once","emotional",0,1.97
12,"sub10","once","neutral",1,1.82
13,"sub10","once","neutral",1,1.75
14,"sub10","once","neutral",1,1.4
15,"sub10","once","neutral",1,1.46
16,"sub10","once","emotional",0,1.32
17,"sub10","once","neutral",0,1.54
18,"sub10","once","emotional",0,1.75
19,"sub10","once","neutral",0,1.85
20,"sub10","once","neutral",1,1.87
21,"sub10","once","emotional",1,1.62
22,"sub10","once","neutral",0,2.36
23,"sub10","once","emotional",0,2.32
24,"sub10","once","emotional",1,2.21
25,"sub10","once","emotional",0,1.17
26,"sub10","once","emotional",1,1.65
27,"sub10","once","neutral",1,1.72
28,"sub10","once","neutral",0,1.7
29,"sub10","once","neutral",0,2.28
30,"sub10","once","emotional",0,1.97
31,"sub10","once","emotional",1,1.85
32,"sub10","once","neutral",0,1.51
33,"sub10","once","neutral",0,1.78
34,"sub10","once","neutral",1,1.96
35,"sub10","once","emotional",0,1.58
36,"sub10","once","emotional",0,1.87
37,"sub10","once","neutral",1,1.3
38,"sub10","once","neutral",1,2.02
39,"sub10","once","emotional",1,1.64
40,"sub10","once","emotional",1,1.92
41,"sub10","once","neutral",1,2.15
42,"sub10","once","neutral",1,2.2
43,"sub10","once","emotional",1,1.13
44,"sub10","once","neutral",0,1.86
45,"sub10","once","neutral",1,1.36
46,"sub10","once","neutral",1,2.1
47,"sub10","once","neutral",0,1.29
48,"sub10","once","neutral",1,2.06
49,"sub10","once","neutral",0,1.69
50,"sub10","once","emotional",1,1.59
51,"sub10","once","neutral",1,2.41
52,"sub10","once","emotional",0,1
53,"sub10","once","neutral",1,1.36
54,"sub10","once","emotional",1,1.77
55,"sub10","once","neutral",1,2.31
56,"sub10","once","neutral",1,1.55
57,"sub10","once","emotional",1,2.16
58,"sub10","once","neutral",1,1.89
59,"sub10","once","emotional",1,1.29
60,"sub10","once","emotional",1,1.08
61,"sub10","once","neutral",1,1.62
62,"sub10","once","neutral",0,2.12
63,"sub10","once","neutral",1,2.01
64,"sub10","once","emotional",1,2.2
65,"sub10","once","emotional",1,1.63
66,"sub10","once","neutral",0,1.2
67,"sub10","once","neutral",0,2.27
68,"sub10","once","emotional",1,2.04
69,"sub10","once","neutral",1,1.27
70,"sub10","once","neutral",0,2.21
71,"sub10","once","neutral",0,1.58
72,"sub10","once","emotional",1,2.05
73,"sub10","once","emotional",1,2.39
74,"sub10","once","emotional",1,1.39
75,"sub10","once","emotional",1,1.34
76,"sub10","once","emotional",0,1.82
77,"sub10","once","neutral",1,1.89
78,"sub10","once","emotional",0,1.23
79,"sub10","once","neutral",0,1.2
80,"sub10","once","emotional",1,1.86
81,"sub10","once","emotional",0,1.34
82,"sub10","once","neutral",1,1.39
83,"sub10","once","emotional",0,1.14
84,"sub10","once","emotional",1,1.56
85,"sub10","once","neutral",1,2.09
86,"sub10","once","emotional",1,1.7
87,"sub10","once","emotional",0,2.31
88,"sub10","once","emotional",1,1.47
89,"sub10","once","emotional",1,1.16
90,"sub10","once","emotional",0,2.39
91,"sub10","once","neutral",0,2.32
92,"sub10","once","emotional",0,1.88
93,"sub10","once","emotional",1,1.31
94,"sub10","once","emotional",0,2.24
95,"sub10","once","emotional",1,2.35
96,"sub10","once","neutral",0,2.22
97,"sub10","once","emotional",1,2.19
98,"sub10","once","neutral",1,2.23
99,"sub10","once","emotional",0,2.21
100,"sub10","once","neutral",1,1.25
