"sub","condition","trials","RT"
"sub27","no_caffeine",1,339
"sub27","no_caffeine",2,212
"sub27","no_caffeine",3,351
"sub27","no_caffeine",4,262
"sub27","no_caffeine",5,339
"sub27","no_caffeine",6,247
"sub27","no_caffeine",7,323
"sub27","no_caffeine",8,353
"sub27","no_caffeine",9,349
"sub27","no_caffeine",10,209
"sub27","no_caffeine",11,213
"sub27","no_caffeine",12,344
"sub27","no_caffeine",13,360
"sub27","no_caffeine",14,293
"sub27","no_caffeine",15,219
"sub27","no_caffeine",16,300
"sub27","no_caffeine",17,295
"sub27","no_caffeine",18,299
"sub27","no_caffeine",19,356
"sub27","no_caffeine",20,211
"sub27","no_caffeine",21,314
"sub27","no_caffeine",22,358
"sub27","no_caffeine",23,353
"sub27","no_caffeine",24,204
"sub27","no_caffeine",25,344
"sub27","no_caffeine",26,350
"sub27","no_caffeine",27,321
"sub27","no_caffeine",28,299
"sub27","no_caffeine",29,308
"sub27","no_caffeine",30,224
"sub27","no_caffeine",31,208
"sub27","no_caffeine",32,203
"sub27","no_caffeine",33,337
"sub27","no_caffeine",34,206
"sub27","no_caffeine",35,366
"sub27","no_caffeine",36,207
"sub27","no_caffeine",37,259
"sub27","no_caffeine",38,237
"sub27","no_caffeine",39,261
"sub27","no_caffeine",40,316
"sub27","no_caffeine",41,248
"sub27","no_caffeine",42,323
"sub27","no_caffeine",43,232
"sub27","no_caffeine",44,349
"sub27","no_caffeine",45,241
"sub27","no_caffeine",46,330
"sub27","no_caffeine",47,282
"sub27","no_caffeine",48,299
"sub27","no_caffeine",49,235
"sub27","no_caffeine",50,352
"sub27","no_caffeine",51,346
"sub27","no_caffeine",52,240
"sub27","no_caffeine",53,207
"sub27","no_caffeine",54,206
"sub27","no_caffeine",55,339
"sub27","no_caffeine",56,297
"sub27","no_caffeine",57,298
"sub27","no_caffeine",58,313
"sub27","no_caffeine",59,295
"sub27","no_caffeine",60,261
"sub27","no_caffeine",61,364
"sub27","no_caffeine",62,230
"sub27","no_caffeine",63,279
"sub27","no_caffeine",64,355
"sub27","no_caffeine",65,216
"sub27","no_caffeine",66,283
"sub27","no_caffeine",67,356
"sub27","no_caffeine",68,232
"sub27","no_caffeine",69,287
"sub27","no_caffeine",70,314
"sub27","no_caffeine",71,200
"sub27","no_caffeine",72,274
"sub27","no_caffeine",73,309
"sub27","no_caffeine",74,243
"sub27","no_caffeine",75,263
"sub27","no_caffeine",76,348
"sub27","no_caffeine",77,337
"sub27","no_caffeine",78,270
"sub27","no_caffeine",79,236
"sub27","no_caffeine",80,288
"sub27","no_caffeine",81,231
"sub27","no_caffeine",82,267
"sub27","no_caffeine",83,304
"sub27","no_caffeine",84,322
"sub27","no_caffeine",85,355
"sub27","no_caffeine",86,304
"sub27","no_caffeine",87,289
"sub27","no_caffeine",88,319
"sub27","no_caffeine",89,322
"sub27","no_caffeine",90,265
"sub27","no_caffeine",91,357
"sub27","no_caffeine",92,224
"sub27","no_caffeine",93,293
"sub27","no_caffeine",94,256
"sub27","no_caffeine",95,272
"sub27","no_caffeine",96,341
"sub27","no_caffeine",97,220
"sub27","no_caffeine",98,319
"sub27","no_caffeine",99,229
"sub27","no_caffeine",100,252
