"sub","condition","trials","RT"
"sub25","no_caffeine",1,283
"sub25","no_caffeine",2,211
"sub25","no_caffeine",3,335
"sub25","no_caffeine",4,304
"sub25","no_caffeine",5,299
"sub25","no_caffeine",6,334
"sub25","no_caffeine",7,250
"sub25","no_caffeine",8,180
"sub25","no_caffeine",9,186
"sub25","no_caffeine",10,370
"sub25","no_caffeine",11,373
"sub25","no_caffeine",12,206
"sub25","no_caffeine",13,351
"sub25","no_caffeine",14,412
"sub25","no_caffeine",15,293
"sub25","no_caffeine",16,297
"sub25","no_caffeine",17,406
"sub25","no_caffeine",18,339
"sub25","no_caffeine",19,360
"sub25","no_caffeine",20,274
"sub25","no_caffeine",21,319
"sub25","no_caffeine",22,295
"sub25","no_caffeine",23,351
"sub25","no_caffeine",24,249
"sub25","no_caffeine",25,333
"sub25","no_caffeine",26,338
"sub25","no_caffeine",27,250
"sub25","no_caffeine",28,322
"sub25","no_caffeine",29,242
"sub25","no_caffeine",30,279
"sub25","no_caffeine",31,401
"sub25","no_caffeine",32,271
"sub25","no_caffeine",33,333
"sub25","no_caffeine",34,324
"sub25","no_caffeine",35,207
"sub25","no_caffeine",36,390
"sub25","no_caffeine",37,396
"sub25","no_caffeine",38,257
"sub25","no_caffeine",39,323
"sub25","no_caffeine",40,317
"sub25","no_caffeine",41,328
"sub25","no_caffeine",42,285
"sub25","no_caffeine",43,295
"sub25","no_caffeine",44,288
"sub25","no_caffeine",45,342
"sub25","no_caffeine",46,196
"sub25","no_caffeine",47,205
"sub25","no_caffeine",48,183
"sub25","no_caffeine",49,330
"sub25","no_caffeine",50,200
"sub25","no_caffeine",51,236
"sub25","no_caffeine",52,345
"sub25","no_caffeine",53,324
"sub25","no_caffeine",54,247
"sub25","no_caffeine",55,302
"sub25","no_caffeine",56,317
"sub25","no_caffeine",57,238
"sub25","no_caffeine",58,307
"sub25","no_caffeine",59,336
"sub25","no_caffeine",60,181
"sub25","no_caffeine",61,183
"sub25","no_caffeine",62,288
"sub25","no_caffeine",63,224
"sub25","no_caffeine",64,211
"sub25","no_caffeine",65,196
"sub25","no_caffeine",66,210
"sub25","no_caffeine",67,413
"sub25","no_caffeine",68,383
"sub25","no_caffeine",69,299
"sub25","no_caffeine",70,410
"sub25","no_caffeine",71,325
"sub25","no_caffeine",72,301
"sub25","no_caffeine",73,384
"sub25","no_caffeine",74,204
"sub25","no_caffeine",75,272
"sub25","no_caffeine",76,357
"sub25","no_caffeine",77,198
"sub25","no_caffeine",78,401
"sub25","no_caffeine",79,209
"sub25","no_caffeine",80,269
"sub25","no_caffeine",81,218
"sub25","no_caffeine",82,405
"sub25","no_caffeine",83,302
"sub25","no_caffeine",84,237
"sub25","no_caffeine",85,232
"sub25","no_caffeine",86,272
"sub25","no_caffeine",87,294
"sub25","no_caffeine",88,270
"sub25","no_caffeine",89,287
"sub25","no_caffeine",90,262
"sub25","no_caffeine",91,220
"sub25","no_caffeine",92,390
"sub25","no_caffeine",93,399
"sub25","no_caffeine",94,405
"sub25","no_caffeine",95,242
"sub25","no_caffeine",96,193
"sub25","no_caffeine",97,269
"sub25","no_caffeine",98,395
"sub25","no_caffeine",99,250
"sub25","no_caffeine",100,186
