sub,condition,trials,RT
sub03,caffeine,1,319
sub03,caffeine,2,199
sub03,caffeine,3,337
sub03,caffeine,4,212
sub03,caffeine,5,229
sub03,caffeine,6,220
sub03,caffeine,7,255
sub03,caffeine,8,344
sub03,caffeine,9,219
sub03,caffeine,10,350
sub03,caffeine,11,320
sub03,caffeine,12,271
sub03,caffeine,13,228
sub03,caffeine,14,320
sub03,caffeine,15,265
sub03,caffeine,16,331
sub03,caffeine,17,258
sub03,caffeine,18,276
sub03,caffeine,19,238
sub03,caffeine,20,368
sub03,caffeine,21,308
sub03,caffeine,22,222
sub03,caffeine,23,303
sub03,caffeine,24,204
sub03,caffeine,25,207
sub03,caffeine,26,295
sub03,caffeine,27,281
sub03,caffeine,28,316
sub03,caffeine,29,366
sub03,caffeine,30,202
sub03,caffeine,31,351
sub03,caffeine,32,317
sub03,caffeine,33,289
sub03,caffeine,34,311
sub03,caffeine,35,301
sub03,caffeine,36,198
sub03,caffeine,37,305
sub03,caffeine,38,240
sub03,caffeine,39,204
sub03,caffeine,40,241
sub03,caffeine,41,281
sub03,caffeine,42,301
sub03,caffeine,43,221
sub03,caffeine,44,260
sub03,caffeine,45,306
sub03,caffeine,46,216
sub03,caffeine,47,192
sub03,caffeine,48,312
sub03,caffeine,49,233
sub03,caffeine,50,191
sub03,caffeine,51,339
sub03,caffeine,52,284
sub03,caffeine,53,331
sub03,caffeine,54,345
sub03,caffeine,55,308
sub03,caffeine,56,275
sub03,caffeine,57,359
sub03,caffeine,58,296
sub03,caffeine,59,278
sub03,caffeine,60,231
sub03,caffeine,61,258
sub03,caffeine,62,216
sub03,caffeine,63,362
sub03,caffeine,64,215
sub03,caffeine,65,331
sub03,caffeine,66,221
sub03,caffeine,67,317
sub03,caffeine,68,343
sub03,caffeine,69,339
sub03,caffeine,70,353
sub03,caffeine,71,317
sub03,caffeine,72,194
sub03,caffeine,73,313
sub03,caffeine,74,366
sub03,caffeine,75,296
sub03,caffeine,76,272
sub03,caffeine,77,350
sub03,caffeine,78,332
sub03,caffeine,79,284
sub03,caffeine,80,259
sub03,caffeine,81,358
sub03,caffeine,82,367
sub03,caffeine,83,359
sub03,caffeine,84,268
sub03,caffeine,85,202
sub03,caffeine,86,368
sub03,caffeine,87,317
sub03,caffeine,88,361
sub03,caffeine,89,215
sub03,caffeine,90,232
sub03,caffeine,91,289
sub03,caffeine,92,220
sub03,caffeine,93,97
sub03,caffeine,94,365
sub03,caffeine,95,205
sub03,caffeine,96,331
sub03,caffeine,97,366
sub03,caffeine,98,354
sub03,caffeine,99,230
sub03,caffeine,100,282
