sub,condition,trials,RT
sub14,caffeine,1,266
sub14,caffeine,2,202
sub14,caffeine,3,370
sub14,caffeine,4,395
sub14,caffeine,5,203
sub14,caffeine,6,239
sub14,caffeine,7,334
sub14,caffeine,8,379
sub14,caffeine,9,293
sub14,caffeine,10,270
sub14,caffeine,11,219
sub14,caffeine,12,309
sub14,caffeine,13,378
sub14,caffeine,14,292
sub14,caffeine,15,392
sub14,caffeine,16,296
sub14,caffeine,17,260
sub14,caffeine,18,206
sub14,caffeine,19,375
sub14,caffeine,20,245
sub14,caffeine,21,235
sub14,caffeine,22,394
sub14,caffeine,23,332
sub14,caffeine,24,391
sub14,caffeine,25,341
sub14,caffeine,26,301
sub14,caffeine,27,303
sub14,caffeine,28,304
sub14,caffeine,29,210
sub14,caffeine,30,278
sub14,caffeine,31,285
sub14,caffeine,32,236
sub14,caffeine,33,342
sub14,caffeine,34,217
sub14,caffeine,35,331
sub14,caffeine,36,323
sub14,caffeine,37,297
sub14,caffeine,38,392
sub14,caffeine,39,266
sub14,caffeine,40,364
sub14,caffeine,41,213
sub14,caffeine,42,396
sub14,caffeine,43,343
sub14,caffeine,44,220
sub14,caffeine,45,211
sub14,caffeine,46,332
sub14,caffeine,47,267
sub14,caffeine,48,390
sub14,caffeine,49,259
sub14,caffeine,50,282
sub14,caffeine,51,375
sub14,caffeine,52,382
sub14,caffeine,53,274
sub14,caffeine,54,303
sub14,caffeine,55,233
sub14,caffeine,56,374
sub14,caffeine,57,214
sub14,caffeine,58,349
sub14,caffeine,59,317
sub14,caffeine,60,257
sub14,caffeine,61,200
sub14,caffeine,62,226
sub14,caffeine,63,377
sub14,caffeine,64,298
sub14,caffeine,65,298
sub14,caffeine,66,320
sub14,caffeine,67,267
sub14,caffeine,68,187
sub14,caffeine,69,332
sub14,caffeine,70,186
sub14,caffeine,71,211
sub14,caffeine,72,260
sub14,caffeine,73,197
sub14,caffeine,74,391
sub14,caffeine,75,340
sub14,caffeine,76,312
sub14,caffeine,77,185
sub14,caffeine,78,202
sub14,caffeine,79,268
sub14,caffeine,80,311
sub14,caffeine,81,226
sub14,caffeine,82,384
sub14,caffeine,83,345
sub14,caffeine,84,204
sub14,caffeine,85,386
sub14,caffeine,86,279
sub14,caffeine,87,344
sub14,caffeine,88,372
sub14,caffeine,89,301
sub14,caffeine,90,334
sub14,caffeine,91,389
sub14,caffeine,92,223
sub14,caffeine,93,268
sub14,caffeine,94,80
sub14,caffeine,95,267
sub14,caffeine,96,219
sub14,caffeine,97,397
sub14,caffeine,98,207
sub14,caffeine,99,321
sub14,caffeine,100,339
