sub,condition,trials,RT
sub07,caffeine,1,331
sub07,caffeine,2,257
sub07,caffeine,3,225
sub07,caffeine,4,262
sub07,caffeine,5,194
sub07,caffeine,6,234
sub07,caffeine,7,367
sub07,caffeine,8,368
sub07,caffeine,9,337
sub07,caffeine,10,263
sub07,caffeine,11,355
sub07,caffeine,12,286
sub07,caffeine,13,337
sub07,caffeine,14,240
sub07,caffeine,15,316
sub07,caffeine,16,313
sub07,caffeine,17,339
sub07,caffeine,18,342
sub07,caffeine,19,210
sub07,caffeine,20,340
sub07,caffeine,21,244
sub07,caffeine,22,192
sub07,caffeine,23,220
sub07,caffeine,24,278
sub07,caffeine,25,246
sub07,caffeine,26,303
sub07,caffeine,27,305
sub07,caffeine,28,343
sub07,caffeine,29,336
sub07,caffeine,30,212
sub07,caffeine,31,272
sub07,caffeine,32,230
sub07,caffeine,33,287
sub07,caffeine,34,259
sub07,caffeine,35,323
sub07,caffeine,36,91
sub07,caffeine,37,246
sub07,caffeine,38,259
sub07,caffeine,39,195
sub07,caffeine,40,276
sub07,caffeine,41,239
sub07,caffeine,42,364
sub07,caffeine,43,256
sub07,caffeine,44,271
sub07,caffeine,45,313
sub07,caffeine,46,302
sub07,caffeine,47,324
sub07,caffeine,48,313
sub07,caffeine,49,276
sub07,caffeine,50,370
sub07,caffeine,51,355
sub07,caffeine,52,288
sub07,caffeine,53,277
sub07,caffeine,54,296
sub07,caffeine,55,207
sub07,caffeine,56,283
sub07,caffeine,57,227
sub07,caffeine,58,350
sub07,caffeine,59,243
sub07,caffeine,60,217
sub07,caffeine,61,358
sub07,caffeine,62,334
sub07,caffeine,63,302
sub07,caffeine,64,227
sub07,caffeine,65,261
sub07,caffeine,66,209
sub07,caffeine,67,254
sub07,caffeine,68,303
sub07,caffeine,69,312
sub07,caffeine,70,349
sub07,caffeine,71,259
sub07,caffeine,72,201
sub07,caffeine,73,326
sub07,caffeine,74,358
sub07,caffeine,75,254
sub07,caffeine,76,311
sub07,caffeine,77,294
sub07,caffeine,78,366
sub07,caffeine,79,258
sub07,caffeine,80,350
sub07,caffeine,81,267
sub07,caffeine,82,313
sub07,caffeine,83,245
sub07,caffeine,84,328
sub07,caffeine,85,365
sub07,caffeine,86,276
sub07,caffeine,87,280
sub07,caffeine,88,298
sub07,caffeine,89,285
sub07,caffeine,90,200
sub07,caffeine,91,267
sub07,caffeine,92,201
sub07,caffeine,93,324
sub07,caffeine,94,226
sub07,caffeine,95,240
sub07,caffeine,96,340
sub07,caffeine,97,255
sub07,caffeine,98,219
sub07,caffeine,99,241
sub07,caffeine,100,53
