"sub","condition","trials","RT"
"sub18","caffeine",1,359
"sub18","caffeine",2,266
"sub18","caffeine",3,397
"sub18","caffeine",4,312
"sub18","caffeine",5,359
"sub18","caffeine",6,220
"sub18","caffeine",7,243
"sub18","caffeine",8,316
"sub18","caffeine",9,265
"sub18","caffeine",10,257
"sub18","caffeine",11,301
"sub18","caffeine",12,395
"sub18","caffeine",13,279
"sub18","caffeine",14,198
"sub18","caffeine",15,338
"sub18","caffeine",16,385
"sub18","caffeine",17,187
"sub18","caffeine",18,374
"sub18","caffeine",19,312
"sub18","caffeine",20,215
"sub18","caffeine",21,385
"sub18","caffeine",22,265
"sub18","caffeine",23,264
"sub18","caffeine",24,365
"sub18","caffeine",25,361
"sub18","caffeine",26,314
"sub18","caffeine",27,376
"sub18","caffeine",28,368
"sub18","caffeine",29,237
"sub18","caffeine",30,396
"sub18","caffeine",31,184
"sub18","caffeine",32,355
"sub18","caffeine",33,371
"sub18","caffeine",34,233
"sub18","caffeine",35,334
"sub18","caffeine",36,250
"sub18","caffeine",37,312
"sub18","caffeine",38,370
"sub18","caffeine",39,330
"sub18","caffeine",40,383
"sub18","caffeine",41,383
"sub18","caffeine",42,265
"sub18","caffeine",43,355
"sub18","caffeine",44,250
"sub18","caffeine",45,320
"sub18","caffeine",46,369
"sub18","caffeine",47,339
"sub18","caffeine",48,357
"sub18","caffeine",49,219
"sub18","caffeine",50,330
"sub18","caffeine",51,358
"sub18","caffeine",52,275
"sub18","caffeine",53,284
"sub18","caffeine",54,314
"sub18","caffeine",55,307
"sub18","caffeine",56,225
"sub18","caffeine",57,336
"sub18","caffeine",58,188
"sub18","caffeine",59,295
"sub18","caffeine",60,240
"sub18","caffeine",61,383
"sub18","caffeine",62,286
"sub18","caffeine",63,329
"sub18","caffeine",64,293
"sub18","caffeine",65,387
"sub18","caffeine",66,236
"sub18","caffeine",67,210
"sub18","caffeine",68,224
"sub18","caffeine",69,314
"sub18","caffeine",70,224
"sub18","caffeine",71,333
"sub18","caffeine",72,281
"sub18","caffeine",73,315
"sub18","caffeine",74,216
"sub18","caffeine",75,379
"sub18","caffeine",76,236
"sub18","caffeine",77,280
"sub18","caffeine",78,304
"sub18","caffeine",79,239
"sub18","caffeine",80,224
"sub18","caffeine",81,350
"sub18","caffeine",82,283
"sub18","caffeine",83,270
"sub18","caffeine",84,237
"sub18","caffeine",85,323
"sub18","caffeine",86,228
"sub18","caffeine",87,306
"sub18","caffeine",88,340
"sub18","caffeine",89,309
"sub18","caffeine",90,187
"sub18","caffeine",91,284
"sub18","caffeine",92,230
"sub18","caffeine",93,373
"sub18","caffeine",94,336
"sub18","caffeine",95,299
"sub18","caffeine",96,299
"sub18","caffeine",97,321
"sub18","caffeine",98,236
"sub18","caffeine",99,195
"sub18","caffeine",100,247
